"","genename","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DPY19L2P4","DPY19L2P4",37.1307540927855,-4.22397358741509,0.320731631058498,-13.1698067118447,1.30932442504027e-39,3.34774525936666e-37
"ADCY1","ADCY1",1189.86430179064,-2.9712512167746,0.22645791715602,-13.1205446649389,2.51123566906868e-39,6.3340829409685e-37
"SERHL2","SERHL2",921.025151973912,3.36670132450207,0.25674649532037,13.1129397513336,2.77624655846934e-39,6.9091522685107e-37
"SLC39A6","SLC39A6",26658.3045313076,-2.39160179139608,0.183344112162356,-13.0443337568335,6.84527605444236e-39,1.68114575731798e-36
"MAG","MAG",20.7466704567322,-3.75673732011425,0.289080342764667,-12.9954782957086,1.2979376199483e-38,3.14623450342014e-36
"KCNC2","KCNC2",153.106220628615,-7.06052239201404,0.543373614611659,-12.9938631581515,1.32562971246651e-38,3.17216392092145e-36
"ZNF516","ZNF516",385.261123565492,-1.63964341708389,0.126267826682837,-12.9854410276847,1.4798327153093e-38,3.49633894066432e-36
"RLN2","RLN2",46.1860294905508,-2.84442238916617,0.219366595888502,-12.9665247238094,1.89425885597608e-38,4.4195426933492e-36
"LPPR3","LPPR3",173.948003823715,-3.48308586362955,0.268942160114106,-12.9510592989651,2.31734122375834e-38,5.3398980174629e-36
"PARD6B","PARD6B",1046.0853419729,-2.17551534479045,0.168428446763166,-12.9165552886059,3.63033700649132e-38,8.26344393001956e-36
"NTRK3","NTRK3",118.040663715819,-3.27585154314505,0.254431137283105,-12.8751990740033,6.20788107856264e-38,1.39602530519725e-35
"ABCC3","ABCC3",613.825621960392,2.08780713469482,0.162315333886763,12.8626611220314,7.30188481854599e-38,1.62249619212096e-35
"NTRK2","NTRK2",1389.14309538623,-2.84519799181001,0.221798565751759,-12.8278466642314,1.14502487992185e-37,2.51433992749898e-35
"SLC35B1","SLC35B1",1159.72318857346,1.09929514127277,0.0857123718833358,12.8253963473212,1.18180677479736e-37,2.56493295948754e-35
"GGCT","GGCT",2358.49176589824,1.1446239496012,0.0893924834037043,12.8044764617622,1.54766074698419e-37,3.32035492442067e-35
"SLC12A3","SLC12A3",8.99217181992474,3.0208987572393,0.236084429766049,12.7958407093297,1.72970394034393e-37,3.66874136892266e-35
"SUSD2","SUSD2",1227.75837377189,2.21587788213423,0.173320929280556,12.7848257641601,1.99308971041282e-37,4.17988982526464e-35
"C17orf96","C17orf96",210.652736962281,2.00292403477981,0.157773454456034,12.6949368110461,6.30808411979717e-37,1.30822655662238e-34
"LRRC59","LRRC59",4708.69615757593,1.15426621339906,0.09145635201137,12.6209518312688,1.61853083128918e-36,3.31976680945193e-34
"SCGB1B2P","SCGB1B2P",28.7152996748126,3.26432483186531,0.259346635698597,12.5867251875941,2.49824465554654e-36,5.06844961910611e-34
"PEX5L","PEX5L",28.5477884901169,-3.92392666500106,0.312727706342301,-12.5474225194044,4.1066060510788e-36,8.24191418746084e-34
"DCX","DCX",58.4626840961028,-4.40043812194755,0.351862082734897,-12.5061447023349,6.90972361909847e-36,1.3720211845795e-33
"SCRG1","SCRG1",56.4874312070968,-4.63279074201132,0.372174848902544,-12.4478877486545,1.43595266538578e-35,2.8212691052027e-33
"RAMP2-AS1","RAMP2-AS1",108.792897160464,-2.21935434662875,0.17842420865619,-12.4386391473664,1.61227342262545e-35,3.13469619096916e-33
"SIAH2","SIAH2",2372.85614894976,-1.46420433194027,0.117879694442196,-12.421175155474,2.00593125058376e-35,3.85986667960267e-33
"SNF8","SNF8",1093.47756793024,1.09859729581015,0.0886494552190204,12.3926006436917,2.86595980112536e-35,5.45848364163315e-33
"MKX","MKX",170.804676505992,-3.68738338582584,0.298491092209142,-12.3534118172016,4.6688561049148e-35,8.80244436345806e-33
"TPRG1","TPRG1",999.278536113943,-3.26590678159,0.264402970920627,-12.3520048591678,4.75124310941591e-35,8.8681952637248e-33
"EZH1","EZH1",723.688289928278,-0.814465589846399,0.0660260616047545,-12.3355167649095,5.83135937507177e-35,1.07764675975955e-32
"ROPN1","ROPN1",92.3965289586288,-4.93969101957604,0.401468706812497,-12.3040499440049,8.61440783248644e-35,1.57635217836627e-32
"PPM1J","PPM1J",270.783341347675,-1.81053393217353,0.147358223518532,-12.2866161720919,1.06887299879237e-34,1.93694315752035e-32
"UBE2Z","UBE2Z",3464.49041315817,0.906735634899686,0.0741204529796136,12.2332716335271,2.06452658208307e-34,3.70522967832505e-32
"PDZK1P1","PDZK1P1",60.6950491249663,-3.08715400090063,0.252396603695528,-12.231361102722,2.11366905357975e-34,3.75729837000629e-32
"BMPR1B","BMPR1B",4000.187482165,-3.65425317039492,0.299148119160835,-12.2155311577615,2.56818666101245e-34,4.52218905922617e-32
"SGK3","SGK3",1293.27944852239,-1.84718802559011,0.15168143971782,-12.178075504996,4.06766969684661e-34,7.09561260669552e-32
"C2CD4A","C2CD4A",118.667915864359,3.55711689734256,0.292793024795394,12.1489126997759,5.81335636276623e-34,1.0046879306577e-31
"PTX3","PTX3",94.9082463218886,-3.18958976493854,0.262613490780907,-12.1455670668479,6.05612470391648e-34,1.03704190457432e-31
"GGT1","GGT1",612.51884823636,2.23608344336551,0.184393877879729,12.1266685698969,7.62903408644555e-34,1.29450837475915e-31
"RIMS4","RIMS4",809.567091703123,-3.17481473759365,0.262280490581306,-12.1046545648788,9.97885657851942e-34,1.67797619854113e-31
"CDHR3","CDHR3",122.5800017845,-2.98597321413758,0.247130537012689,-12.0825748619818,1.30565968482983e-33,2.17590518012042e-31
"ABCC4","ABCC4",262.012459338584,1.97036878042145,0.163292584757078,12.0664926907285,1.5875744888244e-33,2.60971052709168e-31
"B4GALNT2","B4GALNT2",39.2469621607681,4.28859920440429,0.355423585241804,12.0661638182695,1.59392981563596e-33,2.60971052709168e-31
"LINC00908","LINC00908",14.8922911370955,-3.18295945321687,0.264016384020435,-12.055916397107,1.80513510204664e-33,2.92981275475657e-31
"KCNJ1","KCNJ1",2.38937580243362,2.42509532783332,0.201168653449544,12.0550358430548,1.82453106935025e-33,2.93576486288124e-31
"C2orf54","C2orf54",358.728246862486,3.31348553600307,0.274908660307983,12.0530416622413,1.8692254976487e-33,2.98197383877034e-31
"FGFR4","FGFR4",400.61880783778,2.61065943032413,0.216791694154654,12.0422483919599,2.13068090904823e-33,3.3702677260496e-31
"GDF5","GDF5",27.6476949261005,-3.41353044875489,0.283702697482992,-12.0320690604626,2.41043252625288e-33,3.78073303382436e-31
"PLIN5","PLIN5",225.133579827366,-2.72983260373143,0.227208139379513,-12.0146778684354,2.97526793110523e-33,4.62778132783992e-31
"MAPT","MAPT",2619.0962241827,-2.41366468791087,0.201424558520904,-11.982971220763,4.36397606838881e-33,6.73170357987415e-31
"GGTLC1","GGTLC1",5.23501070457695,2.47682590485247,0.206751919405839,11.9796996901907,4.53965157470567e-33,6.94529480671159e-31
"MAPT-AS1","MAPT-AS1",17.5129409552089,-4.50489669270952,0.37669174481243,-11.9591064968857,5.81846081136819e-33,8.82939601985263e-31
"RPL19P12","RPL19P12",83.6297156270079,1.62005646911515,0.135583221736113,11.9487975604259,6.58713834640308e-33,9.9152368738398e-31
"RARG","RARG",1217.40569517962,-0.809688414456128,0.0679829412063242,-11.9101704058195,1.04762942052283e-32,1.56432025072469e-30
"FAM198A","FAM198A",309.95087777499,-1.87975899124429,0.157965893691628,-11.8997775235827,1.18663075159529e-32,1.74397346287607e-30
"PPP1R1B","PPP1R1B",3517.86985307444,3.37856250053878,0.28391067911804,11.9000895317999,1.182202532658e-32,1.74397346287607e-30
"OSR1","OSR1",150.346233012347,-2.85350683202145,0.239819823041141,-11.8985444815875,1.20429262956397e-32,1.75610327584465e-30
"DOK7","DOK7",200.066050491586,-2.77380661918821,0.233207796309974,-11.8941418900993,1.26951143496151e-32,1.83685511112842e-30
"DIO2","DIO2",762.111463581557,2.00645657085676,0.168794514644144,11.8869773409806,1.38322389750677e-32,1.98599031130491e-30
"PPP1R10","PPP1R10",1952.60701017473,0.612581467018822,0.0515736408823833,11.8778014609411,1.54374296878654e-32,2.19953912308403e-30
"DBI","DBI",3550.96460984341,1.19492155979438,0.100674274355635,11.8691847290926,1.71127111488885e-32,2.41976328480306e-30
"CYP2A7","CYP2A7",66.6412117186226,-6.606147049038,0.556968932232998,-11.8608896595949,1.88956617654987e-32,2.65178591618822e-30
"IRX1","IRX1",210.406374664358,-3.05782846713439,0.258021325107537,-11.8510687667384,2.12463607730758e-32,2.95942778977209e-30
"PLP1","PLP1",57.0534505536098,-3.20037236993467,0.270530358909954,-11.8299934352281,2.73163149799793e-32,3.77673347482455e-30
"ENPP3","ENPP3",84.374425129324,3.01725164271438,0.255463011104421,11.8109139545101,3.42814382699809e-32,4.70487533315583e-30
"TPSG1","TPSG1",56.2687879667043,-4.04210043145519,0.342460393898946,-11.8031179764628,3.76112203792019e-32,5.1241856085971e-30
"GABRP","GABRP",3359.64160475868,-3.87955391593029,0.328812911833461,-11.7986665861079,3.96545134463847e-32,5.36341661939689e-30
"INSM1","INSM1",94.7637699216253,-4.20831413749926,0.357024493063101,-11.7871860874136,4.54473009938904e-32,6.10268973417959e-30
"BEX1","BEX1",275.308557611456,-4.4800281189114,0.380859604915299,-11.7629385240468,6.05882238982799e-32,8.03958413737123e-30
"SC4MOL","SC4MOL",1287.12534249731,1.07801123854247,0.0916462922144886,11.7627370676328,6.07329956265386e-32,8.03958413737123e-30
"FCRLB","FCRLB",104.486043115421,-2.85671610119758,0.243153783067855,-11.7485982128453,7.1800018390969e-32,9.43765734695377e-30
"PYY","PYY",17.5581051508291,-5.19125631050155,0.442225779701095,-11.7389273732761,8.05009298088159e-32,1.05073416425283e-29
"C1orf226","C1orf226",882.166689707803,-1.68994015127305,0.144451660188194,-11.6990012373093,1.28962384338222e-31,1.67158534977285e-29
"SHC4","SHC4",172.768963667685,-3.32585568319424,0.284745703197583,-11.680090852456,1.61123224999259e-31,2.07404482386977e-29
"CAPN6","CAPN6",256.099448942305,-3.60425953721376,0.308725969680272,-11.6746237478709,1.71824280692293e-31,2.19664397200112e-29
"CCDC158","CCDC158",17.9335373849675,-2.649712621767,0.227023755928595,-11.6715213829887,1.78207476018523e-31,2.26275002713315e-29
"PNMT","PNMT",163.626737543862,3.81017923937445,0.326600603376963,11.6661733015133,1.89768752234082e-31,2.39326605435753e-29
"NMNAT3","NMNAT3",212.960459607782,-1.6871792442734,0.144649793572727,-11.6638897477936,1.94929303601884e-31,2.44184929646253e-29
"DSG1","DSG1",65.6822048371394,-4.51015940744074,0.386857535835437,-11.6584504362849,2.07789491971144e-31,2.58559391176094e-29
"FAM189A2","FAM189A2",214.331185531202,-2.14391749450205,0.184049543205133,-11.6485890547012,2.33289343910649e-31,2.88367258549157e-29
"CST5","CST5",76.4355884971863,-6.30561494176324,0.542265380889463,-11.6282823207713,2.95993667062414e-31,3.63468539192102e-29
"KMO","KMO",259.215607640858,2.16323583411486,0.186113651810204,11.6231980463254,3.14152204957947e-31,3.83245157224842e-29
"NUDT6","NUDT6",86.5913751358064,-1.08588483064211,0.0935553744278279,-11.6068674545234,3.80293694107205e-31,4.60920896137076e-29
"CLIC6","CLIC6",2045.9495415402,-3.43075647123666,0.29560055912295,-11.6060554195694,3.83921324580997e-31,4.62315582148665e-29
"C6orf97","C6orf97",494.799205468223,-2.09696729014079,0.180758639403141,-11.6009242881276,4.07651461358192e-31,4.87744520913503e-29
"CDON","CDON",636.636887367444,-1.50016756943409,0.129477374438855,-11.5863298582915,4.83405423188315e-31,5.74698230815918e-29
"SLC31A1","SLC31A1",1544.77948293915,0.812457180607998,0.0703285768538593,11.5523051503837,7.18666127959197e-31,8.48981220149266e-29
"NCRNA00173","NCRNA00173",28.1473681152983,-2.34587789782599,0.203077706818715,-11.5516268849742,7.24361124166887e-31,8.50327068086474e-29
"AFAP1-AS1","AFAP1-AS1",87.6059605670969,-3.74811000080461,0.324543484917209,-11.5488684105329,7.47987668569883e-31,8.72574364616054e-29
"MPPED2","MPPED2",79.9283139239497,-2.22752274434774,0.193107015782814,-11.5351725327941,8.77111412769858e-31,1.01684997014593e-28
"WNK4","WNK4",801.459931823706,-2.88705130234169,0.251298939503628,-11.4885136723787,1.50682135073786e-30,1.73610003157544e-28
"NEK10","NEK10",215.922858132305,-3.00470106468732,0.261760064515119,-11.4788368128392,1.68532533170446e-30,1.9298525960898e-28
"ACY3","ACY3",25.3608553470987,2.91648847923214,0.254217709962968,11.472404812619,1.8154295429103e-30,2.06615807429394e-28
"LRP2","LRP2",2541.08748008517,-3.22120588939183,0.280871265684171,-11.4686202646801,1.8965907067329e-30,2.14544639643452e-28
"KCNE4","KCNE4",1624.82488633051,-2.59936241438252,0.226993090629909,-11.4512842975495,2.31687154334186e-30,2.60508478051059e-28
"ELP2","ELP2",3201.48696662399,-1.49933226741765,0.13102657094454,-11.4429634890795,2.55022942513705e-30,2.85030133054988e-28
"FAM134B","FAM134B",904.293045916507,-1.78726462683739,0.156624070856079,-11.4111746493916,3.6772949713056e-30,4.08551849044161e-28
"PCSK6","PCSK6",1331.9101132166,-1.92728659961024,0.169120398078761,-11.3959440818764,4.38055708727172e-30,4.83805313810217e-28
"IDI1","IDI1",1391.59793374101,1.01684627790087,0.0893831515663295,11.3762634241677,5.49020011199975e-30,6.02791677002796e-28
"CELSR2","CELSR2",3318.22003396134,-1.54967880500621,0.136315113333614,-11.3683565021405,6.01087057947985e-30,6.56098826701704e-28
"GATA3-AS1","GATA3-AS1",346.886594555056,-2.63266585384686,0.232344890633686,-11.3308532271429,9.2301185903651e-30,1.00162885749514e-27
"FGD3","FGD3",1157.79194863567,-1.9332360363629,0.170865693178005,-11.3143604219537,1.114118036612e-29,1.20202388169729e-27
"OXER1","OXER1",30.1620003408702,1.93163752858552,0.170845049654102,11.3063710800891,1.22032987334732e-29,1.30904925781768e-27
"EYS","EYS",14.1348175869717,1.57601587226652,0.13940870354991,11.3050034333207,1.23949314726108e-29,1.32200797677875e-27
"FOXC1","FOXC1",578.662460932288,-2.53550357740958,0.224507902804714,-11.2936050167243,1.41127037714366e-29,1.49666827212423e-27
"SP6","SP6",313.966452884543,1.67283717307829,0.148211518876645,11.2868229524763,1.52447922450452e-29,1.60759348730942e-27
"PRSS12","PRSS12",61.6760891665547,-3.03944308212305,0.26982530604466,-11.2644848871958,1.96497640403814e-29,2.06046542591976e-27
"EAF2","EAF2",94.1008149067906,1.46176897562543,0.130128052937196,11.2333116697821,2.79791263105685e-29,2.91748822674169e-27
"SEZ6L","SEZ6L",51.5160384620679,-3.84222500140877,0.342080080616443,-11.2319460241149,2.84150307703442e-29,2.94648082960264e-27
"SLC6A15","SLC6A15",42.8521561957542,-4.98983375899573,0.444614414152836,-11.2228339886446,3.15010799544769e-29,3.24844009585807e-27
"FBXL20","FBXL20",244.83352978629,1.40709743624001,0.125659335196859,11.1977151083573,4.18385330168318e-29,4.29074845472069e-27
"ATP6V1B1","ATP6V1B1",543.593984225658,-2.47970321727542,0.222081297136368,-11.1657453790571,5.99859126867129e-29,6.11823530217211e-27
"KIF12","KIF12",722.488118724628,-2.28649866237825,0.204813292242063,-11.1638196786364,6.12999844886125e-29,6.21828375260843e-27
"FAM5B","FAM5B",129.680070851634,-3.6748132584632,0.329489502354354,-11.1530511054373,6.9192340212922e-29,6.98094610850913e-27
"GALNT12","GALNT12",89.7112172446925,1.92890555601974,0.173176697675505,11.1383666619748,8.16021647841977e-29,8.18873336396263e-27
"IRS2","IRS2",762.741103060027,-1.6244388417797,0.146215993470678,-11.1098574322888,1.12338726305215e-28,1.1212846665705e-26
"SLC25A18","SLC25A18",32.9062460316658,2.22955849646012,0.200893004023108,11.0982386235992,1.27940395361641e-28,1.27021674437501e-26
"C14orf145","C14orf145",123.36429022376,0.983957835142306,0.0888546676992235,11.0737889254512,1.68138009633437e-28,1.66047404751752e-26
"PCSK1","PCSK1",213.950578763297,-3.79487938872867,0.343162636311511,-11.0585448040556,1.99304744270554e-28,1.95790686937363e-26
"RAMP1","RAMP1",397.418618759982,-2.25466744410354,0.204021351914314,-11.051134711873,2.16461384755069e-28,2.11531505049915e-26
"ROPN1B","ROPN1B",93.8581965791188,-3.94060504689885,0.357288633706587,-11.029192297606,2.76335627791831e-28,2.68635650663256e-26
"ERO1L","ERO1L",911.522999582098,1.15050338319464,0.104348854798484,11.02554872707,2.87758147021404e-28,2.78290456691943e-26
"GRIA1","GRIA1",32.0020113705471,-4.5252245720331,0.410614817089709,-11.0206071083997,3.04001736275477e-28,2.92484144720711e-26
"MFSD4","MFSD4",91.8347602480666,-1.92868944500276,0.17514789269211,-11.0117764784825,3.35325678107414e-28,3.20966860608968e-26
"GLYATL2","GLYATL2",581.535112175163,3.25769361434523,0.296631737719911,10.9822827435318,4.65022159617004e-28,4.42838704553642e-26
"KYNU","KYNU",395.9976989441,2.28662105320461,0.208441550394624,10.9700827348269,5.3223672032401e-28,5.04274029687698e-26
"FGF10","FGF10",50.4010805525198,-3.87914533630438,0.355053828251634,-10.9255133380935,8.70467943928587e-28,8.20569907748842e-26
"BCRP3","BCRP3",9.72517686201661,1.74531999787859,0.159851173803961,10.9184058918393,9.41334400344902e-28,8.8291490364008e-26
"ACBD4","ACBD4",228.936290474962,-1.23896783193942,0.113481306188148,-10.9178143392644,9.47484319391449e-28,8.84239741072069e-26
"RUNDC3A","RUNDC3A",54.5235099116085,-3.19689788316782,0.293073254626379,-10.9081870580219,1.05336056469314e-27,9.78157957213802e-26
"C2CD4B","C2CD4B",32.2904468150183,2.31711384623654,0.212432429204224,10.9075335386245,1.06095880779554e-27,9.80336442945729e-26
"SLC7A4","SLC7A4",71.3695638073643,-3.59203952623165,0.329536919661748,-10.9002643161157,1.14922958897805e-27,1.05666848661455e-25
"KIAA1919","KIAA1919",78.553831444137,0.988293084806973,0.0906939439466162,10.8970129845571,1.19103226859686e-27,1.08973614183139e-25
"SERPINA5","SERPINA5",1552.86088472244,-2.69436645010584,0.247601665166957,-10.8818591679868,1.40664293599066e-27,1.28073123903735e-25
