"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename"
5156.59086936664,-6.83807675156342,0.313221404844967,-21.8314478058995,1.16666356552444e-105,2.17757754505137e-101,"NPY1R"
538.340446833462,-9.0033212956319,0.503165283430359,-17.8933674323698,1.32832906479472e-71,2.75480688826594e-68,"SERPINA6"
919.820006580442,-4.28711012718216,0.249732355164399,-17.1668189504718,4.70509039932996e-66,6.75542402334567e-63,"ELOVL2"
244.281841923435,-8.07169753326105,0.472334816672377,-17.0889319363043,1.79430161761989e-65,2.39218854949108e-62,"CST9"
1360.40348093784,-1.82090938241639,0.11086305364624,-16.4248532087782,1.26990753614247e-60,1.39428377424113e-57,"DBNDD2"
137.074006073306,-4.52710537766266,0.276828169617618,-16.3534852103958,4.10797023611545e-60,4.25973691428305e-57,"RGS22"
392.884084520735,-2.28773656489533,0.141143409664984,-16.208596422075,4.38468420811442e-59,4.30737530233977e-56,"PMAIP1"
885.380017872303,-3.3190550089207,0.205733564091168,-16.1327833092412,1.50100663094065e-58,1.40081443832536e-55,"TFCP2L1"
83.1107763791224,-5.04997133444506,0.315158031176895,-16.0236162016464,8.74152600881237e-58,7.76955156926109e-55,"C1orf173"
663.04873116685,-4.58038629009583,0.28667396609553,-15.9776848678665,1.82810424275945e-57,1.55098025868659e-54,"PDZK1"
244.108544504948,-4.20710881376689,0.267833234296629,-15.7079416406832,1.33441694961257e-55,1.08290836367472e-52,"RBM24"
11363.3366994736,-3.39919854308667,0.222850104859951,-15.2532956860078,1.56528892250606e-52,1.21733823910732e-49,"STC2"
267.055879062866,-4.86763473219303,0.319258578660611,-15.2466842163311,1.73208373831217e-52,1.29317371902386e-49,"MIA"
3041.93920517516,-4.1156205480037,0.271373537343118,-15.1658875375163,5.9489274581867e-52,4.27064350027134e-49,"PGR"
49.5055931042654,-6.20271918137018,0.409430413894274,-15.1496297560637,7.61946306739035e-52,5.07918850545861e-49,"NPY5R"
171.17079567995,-6.35810138377321,0.419681621815987,-15.1498208481499,7.59734166385506e-52,5.07918850545861e-49,"TRH"
1251.00164904257,-5.85241505118162,0.387097467227079,-15.1187118146358,1.21904001799504e-51,7.84599377099225e-49,"COL2A1"
1525.01776001933,-2.41469947753246,0.159937071626908,-15.0978097383534,1.67402234420779e-51,1.04152090182128e-48,"RERG"
17626.304128298,-7.07822387916425,0.469833730973424,-15.0653803942498,2.73586405669824e-51,1.64725492317009e-48,"CPB1"
10585.2153143347,-3.33890201939198,0.224533662794151,-14.8703850364435,5.13173515487604e-50,2.90254050502307e-47,"ESR1"
415.032842403027,-6.51569823637722,0.438321070222649,-14.8651266822914,5.55097900619338e-50,3.04732421031175e-47,"GRIA2"
1093.37525666977,-1.6890467499715,0.113909183406415,-14.828012101054,9.65500281888353e-50,5.14887507469889e-47,"MBOAT1"
33.6447382762519,-3.76599508714698,0.254537010756983,-14.7954714952731,1.56682538857919e-49,8.1235544105085e-47,"NXNL2"
5494.12559802433,-2.36761084085491,0.160271341836602,-14.7725152464794,2.20334231167125e-49,1.11149687154984e-46,"IGF1R"
451.343852154822,-6.84919493058443,0.474191186729162,-14.4439524020433,2.7368691244553e-47,1.27709155519896e-44,"CYP2A6"
1426.32443124409,-1.43384983332091,0.0995871889344525,-14.3979346004501,5.33130364734411e-47,2.3141577343646e-44,"ASB13"
21575.5920578081,-2.72499935846841,0.191409268633065,-14.2365068208493,5.43780574072839e-46,2.25548098112656e-43,"SERPINA3"
414.693363090971,-3.50815856761104,0.247751637354581,-14.1599813630704,1.62037120426364e-45,6.57483228860452e-43,"NOVA1"
1857.69528183662,-2.06279304380625,0.146164525470533,-14.1128159323591,3.1667583516139e-45,1.25760733261433e-42,"BCL2"
1195.34955975239,-2.81105954043662,0.199205852612533,-14.1113300817737,3.23419854454779e-45,1.25763157987468e-42,"SUSD3"
826.868204199143,-3.20297421537347,0.227390447364675,-14.0857905531833,4.64432224531919e-45,1.76910764712005e-42,"CRISPLD1"
7502.03363304865,-3.44852727193788,0.246023183436251,-14.0170825520248,1.22549876233876e-44,4.57478687981058e-42,"SCUBE2"
943.447361087959,-3.89753977876564,0.278863438480691,-13.9765176819173,2.16841305542817e-44,7.78335186145515e-42,"PI15"
350.703298691171,-2.88504097475488,0.209021775412162,-13.8025857309172,2.458726174526e-43,8.49854149028293e-41,"TMEM26"
64.0801664505233,-2.60697574990116,0.189629139990729,-13.7477591789354,5.25314963843234e-43,1.66186505087016e-40,"C6orf155"
179.595475173637,-4.33307627376737,0.318869571138264,-13.58886725472,4.66240328128678e-42,1.45039595408696e-39,"IGSF1"
2290.22771330595,-2.65198852753858,0.195193728097353,-13.5864433421545,4.81936818666928e-42,1.47464765908495e-39,"GREB1"
69.2466867936151,-3.86210081555402,0.284887689791909,-13.5565731828392,7.24421792891976e-42,2.18086012327883e-39,"MGAM"
649.310942111797,-4.70726204677301,0.348820172729577,-13.4948102626573,1.67786556505192e-41,4.8933376205772e-39,"SOX10"
691.137432258959,-3.9767310449863,0.2960574642916,-13.4322944854701,3.91102855813693e-41,1.12306689288655e-38,"AGTR1"
86.6374373566876,-2.07261132989842,0.154433226256332,-13.4207604162738,4.56999754950048e-41,1.29240915547616e-38,"NAGS"
71.4954993222644,-4.3683226400243,0.32552407559856,-13.4193534901897,4.65758652677369e-41,1.29752018689897e-38,"PPP4R4"
115.018797206933,-2.31269584580066,0.172985647959059,-13.3692931933175,9.14052740007189e-41,2.50894035179915e-38,"GPR77"
