"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename"
1308.11880474857,3.09192931440448,0.156572584580575,19.7475779216848,8.41584230968934e-87,7.85408483551758e-83,"GRB7"
3966.65064491701,2.55097869622734,0.130468746726065,19.5524120545393,3.9347031449582e-85,2.44804114002149e-81,"ORMDL3"
5060.03765963401,2.38117645593097,0.12299225189666,19.3603777409627,1.66658943521745e-83,7.77672295208344e-80,"PSMD3"
1586.10345893459,1.72372584698122,0.0911757589883019,18.9055278081357,1.02706708885871e-79,3.83404144270956e-76,"G6PD"
18345.8333517948,3.06956374741253,0.166195139219672,18.4696361266937,3.62519477920253e-76,1.12773767589692e-72,"ERBB2"
1959.97417097525,2.71940054749311,0.148087216565562,18.3635063887447,2.57435254195074e-75,6.86432717078722e-72,"C17orf37"
446.573799703809,1.79871818712267,0.0995643449274497,18.0658868235748,5.91635644885149e-73,1.38035991397266e-69,"MPHOSPH6"
1694.84381208525,2.39745133834924,0.135512636790435,17.6917178731959,4.85718036017391e-70,9.06592714226461e-67,"STARD3"
1917.76380643725,2.58454389600576,0.146571716145831,17.6333058243944,1.36733386654528e-69,2.32011696536978e-66,"PGAP3"
43.2190116740317,3.98566660526137,0.22709118204471,17.5509527467106,5.84905570239784e-69,9.09771872377131e-66,"ABCC2"
475.916862891439,2.9909759460249,0.175697681461549,17.0234229680456,5.50558637593093e-65,6.85078464711673e-62,"SERHL"
529.347252753518,2.0235861561787,0.121020254837841,16.7210535037309,9.20770437082187e-63,1.07413626300869e-59,"TMEM86A"
196.540082774392,2.6969066462142,0.180602286378242,14.9328488597645,2.01471359216425e-50,1.17514466242955e-47,"GSDMB"
2051.81919017112,1.60157158960574,0.109336763605735,14.6480610618855,1.38615151817742e-48,6.80855739125828e-46,"CDK12"
7.27586019626589,2.47236030643865,0.168867023398553,14.6408710041835,1.54081619068475e-48,7.3741882561874e-46,"GPR179"
109.680700956507,2.81355430940028,0.194904882320021,14.4355250412897,3.09281491986293e-47,1.40798513364004e-44,"GGTLC2"
1306.68990769878,1.17539232994732,0.0815648306208786,14.410528667811,4.44296449300548e-47,1.97447457766541e-44,"ETFA"
2377.5835050795,1.59783396264309,0.112094664173008,14.2543266838909,4.21346505918669e-46,1.7873710302209e-43,"MED24"
139.119748853885,2.38579223332915,0.170244449189033,14.0139208338009,1.28131171167541e-44,4.68934962714149e-42,"NUDT8"
188.790937086314,2.32396468830773,0.167533032801928,13.8716804049941,9.40473897114074e-44,3.31206514898759e-41,"MFSD2A"
994.819400186409,1.29373383392109,0.0938603673013645,13.783600801041,3.19909070371267e-43,1.08565505426904e-40,"SRD5A3"
26303.0030751256,1.66930805341833,0.121180519080028,13.7753829253356,3.58477255200219e-43,1.19481749434144e-40,"RPL19"
29.9239958541137,9.12851797719895,0.663259824127544,13.7631100891821,4.24849538241431e-43,1.36720976401316e-40,"KRT20"
2541.95892498155,1.79335095475149,0.130301211398551,13.7631180516518,4.24802738985224e-43,1.36720976401316e-40,"MED1"
266.96252896386,1.45620357264554,0.107794844243533,13.5090280325063,1.38335753280656e-41,4.09847116664038e-39,"NANOS1"
108.911719223142,2.17193217657303,0.162945278785423,13.3292120689988,1.56542250640412e-40,4.17408729743326e-38,"HAAO"
1058.60484770575,1.23026286819232,0.0930760119448979,13.2178296263988,6.92329384980855e-40,1.79476777370384e-37,"TP53INP2"
921.025151973912,3.36670132450207,0.25674649532037,13.1129397513336,2.77624655846934e-39,6.9091522685107e-37,"SERHL2"
613.825621960392,2.08780713469482,0.162315333886763,12.8626611220314,7.30188481854599e-38,1.62249619212096e-35,"ABCC3"
1159.72318857346,1.09929514127277,0.0857123718833358,12.8253963473212,1.18180677479736e-37,2.56493295948754e-35,"SLC35B1"
2358.49176589824,1.1446239496012,0.0893924834037043,12.8044764617622,1.54766074698419e-37,3.32035492442067e-35,"GGCT"
8.99217181992474,3.0208987572393,0.236084429766049,12.7958407093297,1.72970394034393e-37,3.66874136892266e-35,"SLC12A3"
1227.75837377189,2.21587788213423,0.173320929280556,12.7848257641601,1.99308971041282e-37,4.17988982526464e-35,"SUSD2"
210.652736962281,2.00292403477981,0.157773454456034,12.6949368110461,6.30808411979717e-37,1.30822655662238e-34,"C17orf96"
4708.69615757593,1.15426621339906,0.09145635201137,12.6209518312688,1.61853083128918e-36,3.31976680945193e-34,"LRRC59"
28.7152996748126,3.26432483186531,0.259346635698597,12.5867251875941,2.49824465554654e-36,5.06844961910611e-34,"SCGB1B2P"
1093.47756793024,1.09859729581015,0.0886494552190204,12.3926006436917,2.86595980112536e-35,5.45848364163315e-33,"SNF8"
118.667915864359,3.55711689734256,0.292793024795394,12.1489126997759,5.81335636276623e-34,1.0046879306577e-31,"C2CD4A"
612.51884823636,2.23608344336551,0.184393877879729,12.1266685698969,7.62903408644555e-34,1.29450837475915e-31,"GGT1"
262.012459338584,1.97036878042145,0.163292584757078,12.0664926907285,1.5875744888244e-33,2.60971052709168e-31,"ABCC4"
39.2469621607681,4.28859920440429,0.355423585241804,12.0661638182695,1.59392981563596e-33,2.60971052709168e-31,"B4GALNT2"
2.38937580243362,2.42509532783332,0.201168653449544,12.0550358430548,1.82453106935025e-33,2.93576486288124e-31,"KCNJ1"
358.728246862486,3.31348553600307,0.274908660307983,12.0530416622413,1.8692254976487e-33,2.98197383877034e-31,"C2orf54"
400.61880783778,2.61065943032413,0.216791694154654,12.0422483919599,2.13068090904823e-33,3.3702677260496e-31,"FGFR4"
